im looking for a moderately priced restaurant that serves;inform 
how about a restaurant in the west part of town that serves vietnamese;reqalts 
what about a restaurant that serves vietnamese;inform 
type food;inform 
i want a vietnamese restaurant;inform 
that serves viet;null 
i want a russian restaurant;inform 
how about a korean restaurant;reqalts 
malaysian food in the south part of town;inform 
can you give me the address and price range;request 
looking for an expensive restaurant in the east part of town;inform 
okay can i have the address and the phone number please;request 
and can i have the phone number;request 
id like to find an expensive restaurant in the east side of town;inform 
the north part of town;inform 
breath i want to find an expensive restaurant and it sh;inform 
indian food noise;inform 
thank you what is the address and phone number;request 
that is all;null 
thank you goodb;thankyou 
im looking for something serving vegetarian food;inform 
are there any turkish restaurants;inform 
something moderately priced;inform 
could i have its address;request 
find moderately priced brazilian restaurant;inform 
is there a;confirm 
find asian oriental;inform 
chinese in the south part of town;inform 
im looking for a restaurant in the north part of town that serves french;inform 
what is the address phone number price range;request 
the center of town;inform 
spanish;inform 
could you give the address phone number and post code;request 
i want to find an expensive restaurant on the east part of town;inform 
can i have an address;request 
what type of food is that;request 
can i get a;null 
an expensive restaurant in the east part of town;inform 
expensive food;inform 
how about a different restaurant;reqalts 
im looking for moderately priced restaurant in the north part;inform 
cheap restaurant mediterranean food;inform 
cuban food;inform 
cuban food cheap restaurant;inform 
ye;affirm 
does it serve cuban food;confirm 
i want cuban food;inform 
modern european foo;inform 
the addre;null 
spanish food west part of town;inform 
price;request 
prices;request 
have a good;ack 
can i have moderately priced restaurnt in the south part of town;inform 
may i have the cheap restaurant in the south part of town;inform 
i want a restaurant in the south part of town that serves moroccan food;inform 
does it serve modern european food;confirm 
does it what kind of food does it serve;request 
what about in the center of town;inform 
okay can i have the address;request 
im looking for an expensive restaurant in the south part of;inform 
uh how about chinese food;reqalts 
type of food does pizza hut serve;request 
im looking for chinese food;inform 
im looking for a restaurant that serves german food;inform 
a restaurant serving french food;inform 
i am;null 
i am looking for a moderate priced restaurant;inform 
that serves chinese food;inform 
chinese food im looking for sea food;inform 
sea food;inform 
no cheap restaurant;negate 
no south;negate 
restaurant in the south part of town;inform 
i would like to find a cheap restaurant in the west part of t;inform 
is there a different cheap restaurant in the west part of town;reqalts 
can i have the address please;request 
im looking for a greek restaurant;inform 
what about turkish food;reqalts 
yes id like to find a cheap restaurant in the north part of town;affirm 
and what type of food is it;request 
im looking for a restaurant in the center serving;inform 
air tran;inform 
can i have the address phone number and price range;request 
i would like to find a moderately priced restaurant in the east part of;inform 
what is the phone number and type of food;request 
im looking for a restaurant in the west part;inform 
can i have the phone number and price range;request 
okay give me address;request 
noise i want to find a restaurant that ser;inform 
umh i dont care noise;inform 
eritrean food noise;inform 
noise no;negate 
eritrean food;inform 
i dont want vietnamese food;deny 
noise i dont care about the price range;inform 
breath noise how about french food;reqalts 
